ally_top,ally_jungle,ally_mid,ally_adc,ally_supp,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_supp,target_win
17,76,131,67,235,64,233,55,104,99,0
-1,-1,131,-1,-1,-1,-1,-1,-1,-1,0
17,76,-1,67,235,-1,233,55,104,99,0
17,76,-1,-1,235,64,-1,55,-1,99,0
64,233,55,104,99,17,76,131,67,235,1
-1,233,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,99,-1,-1,-1,-1,-1,1
-1,-1,55,104,-1,17,76,-1,67,235,1
6,56,61,67,117,75,154,55,145,267,0
6,56,61,67,117,75,154,55,-1,267,0
6,56,-1,67,117,75,154,-1,145,267,0
6,56,61,-1,117,-1,-1,55,-1,267,0
75,154,55,145,267,6,56,61,67,117,1
-1,-1,55,-1,267,6,-1,61,67,-1,1
-1,154,55,145,-1,6,-1,-1,-1,117,1
75,154,55,145,267,6,-1,61,67,117,1
85,17,55,145,25,14,245,238,81,161,0
-1,17,55,145,25,14,245,238,81,161,0
85,17,-1,145,25,14,245,238,-1,161,0
-1,-1,55,-1,-1,-1,245,-1,-1,-1,0
14,245,238,81,161,85,17,55,145,25,1
-1,-1,-1,-1,-1,85,17,55,-1,-1,1
-1,-1,-1,-1,-1,-1,17,-1,145,25,1
-1,-1,-1,81,161,-1,17,55,-1,-1,1
82,62,166,29,902,266,35,34,119,44,1
-1,62,166,29,902,-1,35,-1,-1,44,1
82,-1,166,29,902,266,35,34,119,44,1
-1,62,-1,-1,-1,-1,35,34,-1,-1,1
266,35,34,119,44,82,62,166,29,902,0
-1,-1,-1,119,-1,82,-1,166,-1,902,0
266,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
266,35,34,119,44,82,-1,166,29,902,0
54,77,39,29,412,875,245,150,498,555,0
54,77,-1,29,-1,875,-1,150,498,-1,0
54,-1,39,29,412,875,-1,-1,-1,-1,0
-1,-1,39,29,-1,-1,-1,-1,-1,555,0
875,245,150,498,555,54,77,39,29,412,1
875,245,150,-1,555,-1,77,-1,29,412,1
875,-1,150,498,555,54,77,39,29,-1,1
875,-1,150,-1,-1,54,-1,-1,-1,412,1
106,28,38,22,111,80,141,134,145,50,0
-1,28,-1,22,-1,80,141,-1,145,-1,0
106,28,38,22,-1,-1,-1,-1,-1,50,0
-1,-1,38,-1,-1,-1,-1,134,-1,-1,0
80,141,134,145,50,106,28,38,22,111,1
-1,-1,-1,-1,-1,106,-1,38,22,-1,1
-1,-1,-1,-1,-1,-1,28,38,-1,-1,1
-1,-1,134,145,-1,106,-1,-1,22,111,1
164,246,38,110,22,14,234,103,119,412,0
-1,-1,-1,110,-1,-1,234,-1,-1,-1,0
164,-1,38,-1,-1,14,234,103,-1,412,0
164,-1,-1,110,-1,-1,-1,-1,-1,-1,0
14,234,103,119,412,164,246,38,110,22,1
-1,-1,-1,-1,-1,-1,-1,38,-1,-1,1
14,-1,103,119,412,-1,246,-1,110,-1,1
14,234,-1,119,412,164,246,-1,110,22,1
41,131,157,222,89,122,234,103,202,412,0
-1,131,157,222,89,122,234,103,202,412,0
-1,131,-1,-1,89,-1,234,-1,-1,-1,0
41,-1,157,222,89,122,-1,103,-1,412,0
122,234,103,202,412,41,131,157,222,89,1
122,234,103,202,412,41,-1,157,222,89,1
122,234,103,202,412,41,-1,-1,222,89,1
122,234,103,202,412,-1,131,157,222,89,1
82,203,103,22,497,31,33,29,81,63,1
82,-1,-1,22,497,31,33,-1,-1,63,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,63,1
82,-1,103,22,497,31,33,29,81,-1,1
31,33,29,81,63,82,203,103,22,497,0
31,33,-1,-1,-1,-1,-1,-1,-1,-1,0
31,33,29,81,-1,82,-1,103,22,497,0
31,33,29,81,63,-1,-1,-1,22,-1,0
92,59,157,21,800,41,121,3,202,267,0
-1,-1,157,21,-1,41,121,3,-1,267,0
-1,59,-1,-1,-1,41,-1,-1,-1,-1,0
-1,-1,157,21,800,41,121,3,-1,-1,0
41,121,3,202,267,92,59,157,21,800,1
-1,-1,-1,-1,-1,92,59,-1,-1,-1,1
41,121,3,-1,-1,92,59,157,21,800,1
41,-1,3,202,267,92,59,157,21,800,1
92,121,157,119,555,106,35,103,51,25,0
92,121,157,119,555,-1,35,-1,51,25,0
-1,121,157,119,555,-1,35,103,-1,25,0
92,121,157,119,555,106,35,-1,51,25,0
106,35,103,51,25,92,121,157,119,555,1
-1,35,103,-1,25,92,121,157,119,555,1
106,35,103,-1,-1,92,-1,157,119,555,1
-1,-1,-1,-1,-1,-1,-1,157,119,-1,1
34,11,901,51,117,799,107,79,202,89,1
-1,11,901,51,117,799,107,-1,202,89,1
-1,11,-1,-1,-1,-1,107,-1,-1,89,1
34,11,-1,51,117,799,107,79,202,89,1
799,107,79,202,89,34,11,901,51,117,0
-1,-1,79,-1,-1,-1,-1,-1,-1,-1,0
799,-1,-1,-1,-1,-1,-1,901,51,117,0
799,-1,-1,-1,89,34,11,-1,-1,117,0
516,234,154,67,267,82,63,901,51,117,1
-1,234,154,67,267,-1,-1,901,51,117,1
-1,234,-1,-1,-1,82,63,901,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,51,-1,1
82,63,901,51,117,516,234,154,67,267,0
82,63,901,-1,117,516,234,154,67,267,0
-1,-1,901,-1,117,516,-1,-1,-1,267,0
-1,-1,-1,-1,117,-1,-1,-1,-1,-1,0
114,48,131,81,99,85,876,246,901,80,1
114,48,131,81,99,85,876,246,-1,80,1
-1,-1,131,-1,99,-1,876,-1,-1,-1,1
-1,48,-1,-1,99,-1,876,246,901,-1,1
85,876,246,901,80,114,48,131,81,99,0
85,876,246,901,80,114,-1,131,81,99,0
-1,-1,-1,-1,-1,-1,-1,131,-1,-1,0
85,876,246,-1,80,114,48,131,-1,99,0
516,11,7,51,99,8,121,103,119,53,1
-1,11,7,51,99,8,-1,103,119,53,1
516,11,-1,-1,99,8,121,-1,-1,-1,1
516,-1,7,51,-1,-1,121,103,119,53,1
8,121,103,119,53,516,11,7,51,99,0
-1,121,103,-1,53,516,-1,-1,-1,-1,0
8,121,-1,119,53,516,-1,7,51,-1,0
8,121,103,119,53,516,11,7,51,-1,0
58,14,517,81,99,36,121,61,222,53,0
-1,14,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,517,81,99,36,121,-1,222,-1,0
58,14,517,81,99,36,121,61,222,-1,0
36,121,61,222,53,58,14,517,81,99,1
36,121,61,222,53,58,14,-1,81,99,1
-1,-1,-1,222,53,-1,14,-1,81,-1,1
36,-1,-1,-1,-1,-1,14,-1,81,-1,1
31,121,84,15,99,86,887,131,523,111,1
-1,121,84,15,99,-1,887,-1,523,111,1
31,-1,-1,15,99,86,887,131,-1,-1,1
31,121,-1,-1,99,86,-1,131,523,111,1
86,887,131,523,111,31,121,84,15,99,0
-1,887,131,-1,-1,31,-1,84,15,-1,0
86,-1,131,-1,-1,-1,-1,-1,15,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,15,-1,0
157,32,38,236,99,799,64,75,51,267,0
157,-1,38,236,99,799,-1,-1,-1,267,0
157,32,38,236,99,799,64,75,51,-1,0
157,-1,38,236,99,799,64,75,51,267,0
799,64,75,51,267,157,32,38,236,99,1
799,-1,75,51,-1,157,32,38,236,99,1
-1,-1,-1,-1,-1,-1,-1,38,-1,-1,1
799,-1,-1,-1,-1,-1,-1,38,236,-1,1
887,11,517,235,267,799,24,103,222,147,0
887,11,-1,235,-1,799,24,103,222,147,0
887,11,517,235,267,-1,-1,103,222,-1,0
887,-1,-1,-1,267,799,24,-1,-1,147,0
799,24,103,222,147,887,11,517,235,267,1
-1,-1,-1,222,147,887,11,-1,235,-1,1
799,-1,-1,-1,147,887,11,517,235,-1,1
-1,-1,-1,-1,147,-1,-1,-1,-1,267,1
41,36,711,18,99,799,56,7,15,147,1
-1,-1,-1,-1,-1,799,-1,7,-1,-1,1
41,-1,711,18,-1,-1,-1,7,15,147,1
41,36,-1,18,99,799,56,7,15,147,1
799,56,7,15,147,41,36,711,18,99,0
-1,-1,-1,15,147,41,-1,711,18,99,0
799,56,7,15,147,41,36,-1,-1,99,0
799,56,7,15,147,-1,36,711,-1,99,0
82,200,112,21,555,77,106,901,81,117,1
-1,-1,-1,-1,555,77,-1,-1,81,-1,1
